"candidato_id","nome","nome_urna","partido_sigla"
60000612026,"FRANCISCO CELSO CRISOSTOMO SECUNDINO","CELSO CRISOSTOMO","PT"
60000610989,"JOSE AIRTON FELIX CIRILO DA SILVA","JOSE AIRTON","PT"
60000612023,"ELMANO DE FREITAS DA COSTA","ELMANO FREITAS","PT"
60000612044,"PAULO EMILIO CORDEIRO CAMPOS","PAULO EMILIO","PT"
60000610985,"AMILCAR XIMENES PONTE","DR AMILCAR XIMENES","PT"
60000610991,"LUIZIANNE DE OLIVEIRA LINS","LUIZIANNE","PT"
60000612038,"JOSE VERIDIANO MATOS DIAS","VERIDIANO MATOS","PT"
60000612031,"GUILHERME DE FIGUEIREDO SAMPAIO","GUILHERME","PT"
60000610995,"RAFAEL TOMYAMA TOLEDO","RAFAEL TOMYAMA","PT"
60000612046,"ROSANGELA RODRIGUES LIMA","ROSANGELA DO COCO","PT"
60000612030,"GERSON GLAYDSON HONORATO DA SILVA","PAI GERSON","PT"
60000612047,"VILANI DE SOUZA OLIVEIRA","PROFESSORA VILANI","PT"
60000610987,"CARLOS EDUARDO BEZERRA MARQUES","CARLOS EDUARDO","PT"
60000610988,"FRANCISCO CESAR NOGUEIRA DA SILVA","CESAR DO VALE","PT"
60000610984,"ALBA CRISTINA NOGUEIRA LOPES","ALBA CRISTINA","PT"
60000612032,"HILDA MARIA VANDECIR MAIA","HILDA FURACAO","PT"
60000610979,"CAMILO SOBREIRA DE SANTANA","CAMILO","PT"
60000612022,"ANA JARLINE DOS SANTOS SILVA","NEGA ANA","PT"
60000612025,"FERNANDO MATOS SANTANA","FERNANDO SANTANA","PT"
60000610990,"JOSE NOBRE GUIMARAES","GUIMARAES","PT"
60000612029,"FRANCISCO JOSE TEIXEIRA","DEDE TEIXEIRA","PT"
60000612039,"MARCOS VENICIOS NORJOSA GONZAGA","DR. MARCOS NORJOSA","PT"
60000612040,"MARIA ALICE DE OLIVEIRA","ALICE OLIVEIRA","PT"
60000612036,"JOSE CELIO CAVALCANTE FILHO","CELIO","PT"
60000610986,"ANIZIO SANTOS DE MELO","ANIZIO MELO","PT"
60000612043,"MOISES BRAZ RICARDO","MOISES BRAZ","PT"
60000612033,"JOAO TRIGUEIRO DOS SANTOS NETO","JOÃO CORAGEM","PT"
60000612035,"JOSE ACRISIO DE SENA","ACRISIO SENA","PT"
60000610993,"MARIA DE LOURDES PAZ FELIX","LOURDINHA FELIX","PT"
60000610994,"RACHEL XIMENES MARQUES","RACHEL MARQUES","PT"
60000612042,"MAX SWELL VERAS RIBEIRO","MAX SWELL RIBEIRO","PT"
60000612027,"FRANCISCO DENIS DE OLIVEIRA SOUZA","DENIS OLIVEIRA","PT"
60000612074,"TERESINHA DE JESUS DOS SANTOS","PROFESSORA TERESINHA","PT"
