"eleicao_descricao","uf","candidato_cargo","nome_urna","partido_sigla"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","DR. MANOEL PESSANHA","PRB"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","UBALDINO SARAIVA","PV"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","VERA GOMES","SOLIDARIEDADE"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","LINDINALVA","PV"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","MITTER","PP"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","CORONEL ROGÉRIO","PSL"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","DRA. JAEL ","PSDB"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","LUCAS SCARAMUSSA","MDB"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","EDGAR DO ESPORTE","PMN"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","ROGERINHO PINHEIRO","PHS"
"Eleições Gerais Estaduais 2018","ES","SENADOR","HELDER CARNIELLI","PTB"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","MARCELO SUZART","PSL"
"Eleições Gerais Estaduais 2018","ES","1º SUPLENTE","GIULIANO SANDRI","NOVO"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO FEDERAL","BELMIRO","PMB"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO FEDERAL","TIÃO","PSOL"
"Eleições Gerais Estaduais 2018","ES","2º SUPLENTE","VINICIUS SANTOS","PTB"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","JÔ","PTB"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","THAIS BORGES NERY","PP"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","RENATO CAMPOS","PPL"
"Eleições Gerais Estaduais 2018","ES","2º SUPLENTE","RONALDO LIBARDI","PPS"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","DELEGADO FABRÍCIO","PTC"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","ROSA ONÇINHA","PMB"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO FEDERAL","MÁRCIA LAMAS","PSB"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","LUZIANY ROSSONI","PSDB"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","DR. MANOEL","PRB"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","DOMINGUINHOS DO CAIC","PMB"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO FEDERAL","LAZARO COSTALONGA","PSL"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","WELLINGTON CALLEGARI","PSC"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","ANNA DE SOUZA ALTOÉ","DEM"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","ZANATA","PRB"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","PAULO CORADINI","PSB"
"Eleições Gerais Estaduais 2018","ES","1º SUPLENTE","CINTIA TEIXEIRA","PMB"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","DR. RICARDO XIMENES ","PSDB"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO FEDERAL","PROF. MC VALTINHO","PT"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","SARGENTO NUNES","PRP"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","ADSON NOGUEIRA","PRP"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO FEDERAL","EDILAMARA RANGEL","REDE"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO FEDERAL","MAGDA","PRTB"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","LUCIANA MAXIMO","PSB"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","PAULA CARVALHO PRIMO","PP"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO FEDERAL","NEUZA ","PSDB"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","ZIRINHA ZIGNAL","PSB"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","WALDREM MARCELO","PDT"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","LÉLIA CARVALHO","PSB"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","LUCIANO BELLON","PPS"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","SIMONE DE OLIVEIRA","PSL"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","NOEMI BORGES ","PP"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","THAIS TAVARES","PPS"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO FEDERAL","SONIA BUENO","PODE"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","DOUTOR LOUZADA","PV"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO FEDERAL","FAYDA BELO","PP"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","JOERGUES NERY","PP"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","PEDRO TÁPIAS","PSB"
"Eleições Gerais Estaduais 2018","ES","1º SUPLENTE","ADEMAR MORAIS","PMB"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO FEDERAL","LENILDA SILVA","PSD"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO FEDERAL","MESTRE CABRAL","PR"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","PROFESSORA NOEMIA","PMB"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","NEIVA CAMPOS","PP"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO FEDERAL","HANS DETTMANN JUNIOR","PSL"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","ATIVISTA RENATO SILVA","PV"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO FEDERAL","DINA GOMES","PDT"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","VALCEMIR FAGUNDES","PPL"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO FEDERAL","MARCELA ROMÃO","PT"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","YARA TINA","PSDB"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","PROF RONIS","REDE"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO FEDERAL","VINICIUS CARAN","DC"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO FEDERAL","JOELMA LOPES","PSOL"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","AÉCIO MATOS","MDB"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","JEREMIAS MIRANDA","PPL"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","NEGA DO 41","DC"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO FEDERAL","EDUARDO LULA PAIVA","PT"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","GERSSY CANDIDO EMILIO","PRP"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","ADILSON DO QUEIJO","PROS"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","RAFAEL PRIMO","PC do B"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","ANSELMO TOZI","PSDB"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","CESAR LEAL","PTB"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","DINA MARINHO","PRB"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","MARCO GRILO","PSDB"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","NIVALDO NICHEL","PP"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","PASTOR DERCI DE OLIVEIRA","PSC"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","JANETE","PMN"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","DR. HELCIO","PP"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","JOAO MARCOS CUNHA FILHA","REDE"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","DRA. ELIZA SUZANO","PODE"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","DR. COUTINHO","SOLIDARIEDADE"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","MARILIA ALMEIDA CORDEIRO","PSL"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","ROBERTO SALESIANO","PSD"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO FEDERAL","BAIANO VERDUREIRO","PRB"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","WANDERLEY MORAES","PDT"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","RENÊ SILVA","PRP"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","OSTIN MARTINS","PROS"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","THIAGO CARREIRO","PTB"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO FEDERAL","DR RODRIGO","DC"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","DANIEL GOMES","PPS"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO FEDERAL","THIAGO MAGALHAES","PROS"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO FEDERAL","PASTOR GUSMAO","PTB"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","PR MARCOS MANSUR ","PSDB"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","SD. OLMIR CASTIGLIONI","AVANTE"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","LOCUTOR SANDRO GOMES","PRTB"
