"","eleicao_descricao","uf","candidato_cargo","nome_urna","partido_sigla"
"121","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","SERGINHO DAMACENO","AVANTE"
"122","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","BRUNA DE SOUZA","MDB"
"123","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","MANDATO COLETIVO","PSOL"
"124","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","MAURÃO","PC do B"
"125","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","TABANEZ ","PROS"
"126","Eleições Gerais Estaduais 2018","DF","DEPUTADO FEDERAL","DUDA RODRIGUES","PSDB"
"127","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","SILVANIA LEAL","PR"
"128","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","MARCELO MARQUES","PROS"
"129","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","CORREA LEÃO DE JUDÁ","AVANTE"
"130","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","EDUARDO MITSUO YODA","NOVO"
"131","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","J BATISTA","PRP"
"132","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","LANDIM","PRB"
"133","Eleições Gerais Estaduais 2018","DF","1º SUPLENTE","MARCINHO SILVA","MDB"
"134","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","PROFESSOR DANIEL CREPALDI","PRB"
"135","Eleições Gerais Estaduais 2018","DF","DEPUTADO FEDERAL","CHRISTIANE TABOSA","PRTB"
"136","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","CHRISTIAN TADEU","MDB"
"137","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","CRISTINI VASCONCELOS","PTB"
"138","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","ZENON LUZ","MDB"
"139","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","RICARDO TROVAO","PR"
"140","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","TIAGO LACERDA","PRB"
"141","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","MARCELO OTTONI","PV"
"142","Eleições Gerais Estaduais 2018","DF","VICE-GOVERNADOR","KEKA BAGNO","PSOL"
"143","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","MAJOR SOUZA","PRB"
"144","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","DANY DO PV","PV"
"145","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","WOLVERINE","PPL"
"146","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","FLORINDA SAMONTES","PHS"
"147","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","VANDER LOPES","MDB"
"148","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","ALESSANDRO PAIVA","PSB"
"149","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","NÚBIA LIMA","PRP"
"150","Eleições Gerais Estaduais 2018","DF","DEPUTADO FEDERAL","GILSON FERREIRA","DC"
"151","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","EDUARDO COELHO","PATRIOTA"
"152","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","CLÁUDIO ABRANTES","PDT"
"153","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","FERNANDO GOMIDE","PPS"
"154","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","MAX MACIEL","PSOL"
"155","Eleições Gerais Estaduais 2018","DF","GOVERNADOR","JÚLIO MIRAGAYA","PT"
"156","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","HENRIQUE FRANÇA","PSB"
"157","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","CESAR RAMOS","PTB"
"158","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","KAIO TEIXEIRA","PATRIOTA"
"159","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","PAULINHO CARDOSO","PSL"
"160","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","SGT MARCUS VINICIUS","PHS"
"161","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","CAMARGO","AVANTE"
"162","Eleições Gerais Estaduais 2018","DF","DEPUTADO FEDERAL","ADALBERTO IMBRÓSIO","PRP"
"163","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","LUIS FARMA","PPL"
"164","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","DR. EDUARDO MOREIRA","PMB"
"165","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","VIGILANTE SURICATA","PDT"
"166","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","GENILDO VIGILANTE","PSB"
"167","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","RONALDO CAMELÔ","PMB"
"168","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","MICHAEL LEAL","REDE"
"169","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","CORONEL SOUTO","NOVO"
"170","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","GIORDADA DO VALE","PPS"
"171","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","PROFESSOR JUQUINHA","PRB"
