"eleicao_descricao","uf","candidato_cargo","nome_urna","partido_sigla"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","RADY LIMA","AVANTE"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","ADRIANO SANTOS","PSOL"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO FEDERAL","TIBÉRIO ROCHA JÚNIOR ","NOVO"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","GERALDO AMORIM","PSOL"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","ELIAS DO POSTO A MUDANÇA","PSOL"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","FLÁVIA CAVALCANTE","PRTB"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","ZÉ LUIZ","PRTB"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","FRANCISCO SALES","PPL"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","PATRICIA SILVA","PDT"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","MARCOS MADEIRA","PRTB"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO FEDERAL","JONATAS OMENA","PPL"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","SOLANGE DIAS","PTC"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","REIVY OLIVEIRA","PMN"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","CARLOS LIMA","PSL"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","MAYZAA GOMES","PSC"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","REJANE GALVÃO","PV"
"Eleições Gerais Estaduais 2018","AL","2º SUPLENTE","AMÁLIA ","PATRIOTA"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","WESLANNY DOS SANTOS","AVANTE"
