"","eleicao_descricao","uf","candidato_cargo","nome_urna","partido_sigla"
"111","Eleições Gerais Estaduais 2018","PR","DEPUTADO FEDERAL","IDAIR","PRB"
"112","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","FLAVIO FERRARI FACA NA BOTA","PSC"
"113","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","PEDRO PAULO BAZANA","PV"
"114","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","ROBERTO DE SOUZA","PT"
"115","Eleições Gerais Estaduais 2018","PR","DEPUTADO FEDERAL","LIVIA POSSIDENTE TEIXEIRA","PV"
"116","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","MARCELO URBANEJA","PP"
"117","Eleições Gerais Estaduais 2018","PR","DEPUTADO FEDERAL","TONINHO FERREIRA","PTC"
"118","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","DANIELA ZIOBER","PP"
"119","Eleições Gerais Estaduais 2018","PR","DEPUTADO FEDERAL","ANDRÉ MACHADO","PT"
"120","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","TEIXEIRA","PRP"
"121","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","SOLDADO BRASIL","PMN"
"122","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","DELEGADO JACOVOS","PR"
"123","Eleições Gerais Estaduais 2018","PR","DEPUTADO FEDERAL","OLAVO SANTOS","PHS"
"124","Eleições Gerais Estaduais 2018","PR","DEPUTADO FEDERAL","INDIARA BARBOSA","NOVO"
"125","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","RAFAEL RENNER","PRTB"
"126","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","ENIR BECKER","PRB"
"127","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","JURACI COVER CUSTODIO DA LUZ","PRP"
"128","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","EZEQUIAS BARROS","PRP"
"129","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","MANOEL MIRANDA","REDE"
"130","Eleições Gerais Estaduais 2018","PR","DEPUTADO FEDERAL","SERA","PRTB"
"131","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","MARIO VERRI","PT"
"132","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","PASTOR LUCIANO BARUK","PODE"
"133","Eleições Gerais Estaduais 2018","PR","DEPUTADO FEDERAL","SILENE BURDA","PRB"
"134","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","CIDA LAURINDO","PRB"
"135","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","PROFESSORA SONIA BRUSH","PROS"
"136","Eleições Gerais Estaduais 2018","PR","DEPUTADO FEDERAL","LEANDRO DIAS","PSOL"
"137","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","DR NELSO RODRIGUES","PPS"
"138","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","CLEUSA CAMARGO","PPS"
"139","Eleições Gerais Estaduais 2018","PR","SENADOR","PROFESSOR ORIOVISTO GUIMARAES","PODE"
