"","eleicao_descricao","uf","candidato_cargo","nome_urna","partido_sigla"
"84","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","CARLINHOS DA BR","PSC"
"85","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","SEBASTIÃO CRUZ","PP"
"86","Eleições Gerais Estaduais 2018","AC","DEPUTADO FEDERAL","PAULINO SILVA","PROS"
"87","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","ANA FREITAS","PTB"
"88","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","SOCORRINHA","PDT"
"89","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","BRUNA BRITO","PSL"
"90","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","RONALEUDO FERREIRA","PSB"
"91","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","LUCAS PROFETA","PPS"
"92","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","MARISELVA PEREIRA","PODE"
"93","Eleições Gerais Estaduais 2018","AC","DEPUTADO FEDERAL","DANIELA PAIVA","PSL"
"94","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","PROF JUAREZ","MDB"
"95","Eleições Gerais Estaduais 2018","AC","DEPUTADO FEDERAL","BIBIANO","PATRIOTA"
"96","Eleições Gerais Estaduais 2018","AC","DEPUTADO FEDERAL","SANDRO REGO","PDT"
"97","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","PROFESSORA HELENA","PSL"
"98","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","RAIMUNDINHO DA SAÚDE","PODE"
"99","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","ROSE PIMENTEL","PSDB"
"100","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","HELEM DUARTE","MDB"
"101","Eleições Gerais Estaduais 2018","AC","DEPUTADO FEDERAL","VANDA","PDT"
"102","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","DR. VALDETE","PMN"
"103","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","MARCIA ABREU","PSD"
"104","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","ISLAYNE ARRUDA","PTB"
"105","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","ALDERLANIA ROCHA","SOLIDARIEDADE"
"106","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","CHICO BATISTA","PSDB"
"107","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","MARCUS CAVALCANTE","PTB"
"108","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","BLANDINA MENEZES","DEM"
"109","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","CORONEL DEODATO","PSB"
"110","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","CHAGAS","PSC"
"111","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","CHICO DOIDO","DEM"
"112","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","IVONE PORTELA","PSC"
"113","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","NICOLAU JÚNIOR","PP"
"114","Eleições Gerais Estaduais 2018","AC","SENADOR","MÁRCIO BITTAR","MDB"
"115","Eleições Gerais Estaduais 2018","AC","DEPUTADO FEDERAL","CLEIDE ARAÚJO","PDT"
"116","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","LIGIA SANTOS","PV"
"117","Eleições Gerais Estaduais 2018","AC","DEPUTADO FEDERAL","CHICÃO BRÍGIDO","PPL"
"118","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","EDVANIO CADEIRANTE","PROS"
"119","Eleições Gerais Estaduais 2018","AC","DEPUTADO FEDERAL","ELDO PONTES","AVANTE"
