"","screen_name","metricas","count"
"342","AmoCancelados","rts",3
"343","haharskk","rts",14
"344","ohconselheiro_o","rts",4
"345","robertaveloso_","rts",0
"346","lovsmalia","rts",0
"347","duh51014821","rts",1
"348","bebedisco","rts",0
"349","DiihDezincourt","rts",1
"350","detailswanda","rts",0
"351","iFAIRW00","rts",0
"352","thalescornii","rts",1
"353","DyGinger","rts",0
"354","relidafernanda","rts",0
"355","MargaridaViva","rts",1
"356","GuilhermSobral_","rts",2
"357","Crisgremio19032","rts",0
"358","DaSabrinaPaz","rts",1
"359","MarcelaCarlos","rts",5
"360","aCamilaCamargo","rts",0
"361","soniacsilveira1","rts",1
"362","bestlouisheart","rts",1
"363","Jadir92901785","rts",0
"364","livia_assuncao_","rts",0
"365","lwtfearless78","rts",0
"366","fabiana_paz","rts",1
"367","botceara","rts",0
"368","NDBreezy","rts",1
"369","opinareality","rts",1
"370","Patriciatavaree","rts",0
"371","luabaiao","rts",0
"372","biellagm","rts",0
"373","cclarassouza","rts",0
"374","tamiofjesus","rts",0
"375","Yorkyall96","rts",15
"376","Criis_Baarbosa","rts",0
"377","enquetesbbb123","rts",0
"378","kimmiecomenta","rts",14
"379","bergaraujosilva","rts",4
"380","softjeoniti","rts",0
"381","_cyellow","rts",0
"382","britneybittchy","rts",3
"383","cristianofrei11","rts",8
"384","anascott0","rts",0
"385","1cassiaoliveira","rts",0
"386","cmilawity","rts",0
"387","PedroDOliveira7","rts",1
"388","iara967","rts",2
"389","loonapetals","rts",0
"390","VictorParaguacu","rts",0
"391","gabiraduan","rts",1
"392","jkkcamps","rts",0
"393","viihtube","rts",24
"394","Izah_Barcelo","rts",3
"395","titiawanne","rts",14
"396","soassistoo","rts",0
"397","jessaraujoglams","rts",0
"398","InocentePovo","rts",0
"399","Luxo_aju","rts",0
"400","oguibarrosbr","rts",0
"401","babivial","rts",0
"402","mcolwcci","rts",0
"403","sobbb021","rts",1
"404","LendariaOFC","rts",18
"405","Aborgeslopes","rts",1
"406","Marfeisa04","rts",0
"407","rxgnaIk","rts",0
"408","cbetojr","rts",0
"409","morgado_may","rts",0
"410","juhbkp","rts",3
"411","Gomees87","rts",0
"412","_HHK_HHK_","rts",0
"413","BruFreitas20","rts",0
"414","VeryNewUser1","rts",1
"415","Daniloocsl","rts",2
"416","dayana_CRF_","rts",0
"417","vanessaffurtad","rts",0
"418","isaackypower","rts",0
"419","SHOOTER4YUQI","rts",0
"420","tmendonca0","rts",0
"421","Brunnoolobo","rts",1
"422","PLUSPLUSLOONA","rts",0
"423","Kendrnao","rts",0
"424","BrbaraLeticiaC1","rts",0
"425","valeriaa_lima_","rts",1
"426","FilipeOlliveira","rts",1
"427","DigoRezende","rts",0
"428","samuelnuneslp","rts",4
"429","nilda_dias","rts",1
"430","Tatiana60295902","rts",0
"431","dedeiatuita","rts",3
"432","AnittaBlow","rts",0
"433","VotamosReality","rts",0
"434","_reclamona_","rts",10
"435","DigaoRodriguez","rts",0
"436","riprealityshows","rts",1
"437","andersonfunnie","rts",0
"438","analuciadossant","rts",2
"439","bigfofocbrasil","rts",12
"440","Juliana__aH","rts",0
"441","Apaula77560993","rts",1
"442","TardelliLayla","rts",0
"443","eliasrobertoro3","rts",22
"444","Styles_Curls_H","rts",0
"445","manduz99","rts",0
"446","rafaelinhadogra","rts",0
"447","here4demis","rts",0
"448","_euravena","rts",0
"449","wagnexr","rts",0
"450","johnnysjheiles","rts",1
"451","fakettoficial","rts",1
"452","sonsoeordinario","rts",2
"453","beazcintra","rts",0
"454","Adrianaa2502","rts",0
"455","fetishkmann","rts",0
"456","Felypehh","rts",0
"457","comentabycas","rts",0
"458","RhaiFerreira","rts",0
"459","virlaniaalmada","rts",0
"460","umafujo88042924","rts",1
"461","kekereca","rts",2
"462","marcoliveyra","rts",0
"463","CulturaPop6","rts",2
"464","nhwilliard","rts",0
"465","gbelcv1","rts",6
"466","annalfelix","rts",3
"467","litlletia","rts",7
"468","iamannalidia","rts",0
"469","mimimytt","rts",2
"470","bicelinhaaa","rts",0
"471","SlaManoSoE1","rts",0
"472","brunolxs","rts",6
"473","renatamendessr","rts",1
"474","Mel32729471","rts",0
"475","gizellayy","rts",12
"476","RBMRUI","rts",0
"477","Aletapink","rts",0
"478","Yaya__SG","rts",0
"479","lua_coostaa","rts",0
"480","JoaoPsilvaMatt","rts",0
"481","Rede__BBB","rts",0
"482","joyce_199605","rts",0
"483","carlasnoronha","rts",0
"484","luka_santani","rts",12
"485","littleguidi","rts",0
"486","beautifulmihyo","rts",0
"487","OpiniaoSr","rts",1
"488","larizznn","rts",4
"489","bloodneedy","rts",0
"490","penelopcruz","rts",0
"491","Janetepro","rts",0
"492","Alexand23107456","rts",0
"493","shirleyasla","rts",0
"494","onlyxlove2","rts",0
"495","PassandoNaTL","rts",1
"496","luveliott","rts",0
"497","Carllosgomes","rts",1
"498","exponeja","rts",0
"499","justcareren","rts",0
"500","WidowVerse","rts",0
"501","unstabIve","rts",0
"502","lovsfiuk","rts",4
"503","spennygp","rts",1
"504","_oitdbom","rts",3
"505","chris186459","rts",0
"506","mandy_comenta","rts",3
"507","evelinascari","rts",0
"508","thaisfbraz","rts",28
"509","cygallois","rts",0
"510","Hannah_sbn","rts",0
"511","DecoCult","rts",0
"512","Aaa35446533","rts",4
"513","falamundobesta","rts",1
"514","sariette_bbb21","rts",26
"515","xnittabe","rts",1
"516","finelinwlls","rts",3
"517","Taathy23","rts",0
"518","Willgoncalve5","rts",0
"519","0taria_a","rts",1
"520","djcancelado","rts",1
"521","laursmilla","rts",1
"522","1ngridx","rts",14
"523","ItcoIor","rts",0
"524","annacarollinabd","rts",0
"525","Stefany37100659","rts",0
"526","tsuguinho","rts",0
"527","Lidy_Monteiro","rts",1
"528","bernarjordana","rts",0
"529","GHOSTIN_03","rts",0
"530","Fran23846155","rts",0
"531","KikaVasconcelos","rts",3
"532","asahipoet","rts",0
"533","CarollineSTG","rts",4
"534","niviaferreira26","rts",0
"535","enevalverde","rts",0
"536","laurehands","rts",0
"537","ibibmaIik","rts",0
"538","r3alreality","rts",1
"539","reveIacionsg","rts",0
"540","Sodesabafo6","rts",0
"541","_______Soul7","rts",0
"542","mavilaunberg","rts",0
"543","AnaPaulaDiaas1","rts",2
"544","siilva_digo","rts",0
"545","LuSantos1512","rts",0
"546","akordei_Bi","rts",0
"547","Silvia30494507","rts",1
"548","GelsonDPM","rts",0
"549","AsdavAssed","rts",0
"550","NOCED4","rts",0
"551","chaveirinhodos1","rts",7
"552","onemoregilmore","rts",0
"553","AnaBorg23238086","rts",1
"554","hbimarquess","rts",0
"555","eldinaidy","rts",0
"556","niallobos91s","rts",0
"557","Wagner_Reid","rts",0
"558","Carolina20Mari1","rts",0
"559","officialyohan","rts",0
"560","Victor60704664","rts",0
"561","aplourenco0317","rts",1
"562","MelloPretha","rts",0
"563","alesantossg","rts",0
"564","gabyreimberg","rts",0
"565","kelcristinee","rts",0
"566","LeeoAlves4","rts",31
"567","Bibisuafuturaex","rts",0
"568","LouiseBam10","rts",4
"569","hidratando","rts",5
"570","Debora_Chammas","rts",0
"571","itsmarcosc","rts",0
"572","patriciavelozzo","rts",0
"573","Ninha97602949","rts",0
"574","ahorcruxe","rts",3
"575","upicadasgalaxia","rts",3
"576","FalarTodos","rts",0
"577","umvicente","rts",6
"578","toothles_s","rts",1
"579","hugo_heh","rts",1
"580","kaua_sg","rts",2
"581","patrickMJH","rts",3
"582","shotaoceans","rts",1
"583","EnquetesBB","rts",2
"584","oxetweet","rts",12
"585","blogbelezamake","rts",0
"586","melisagda","rts",0
"587","gsmia_","rts",0
"588","rodrigostoll16","rts",0
"589","bigbesteirol","rts",2
"590","FabianoAlberg","rts",0
"591","aninha_jackson","rts",1
"592","sweetmilkcl","rts",15
"593","janaborges3","rts",1
"594","pjmvcutx","rts",0
"595","juwarrior","rts",0
"596","katyandemi","rts",1
"597","K_IQ__","rts",0
"598","Ellainebangtan","rts",1
"599","nandaemanuela","rts",0
"600","GiseleNatural","rts",43
"601","bbb","rts",340
"602","douglasa484","rts",1
"603","paivaftdiaz","rts",0
"604","BYW1LEX","rts",1
"605","Maurcio29326404","rts",0
"606","TSUCHlYA","rts",0
"607","IT4SHYs","rts",0
"608","ba_brustolim","rts",0
"609","comentaamah","rts",1
"610","opsbrownie","rts",0
"611","eun1woo","rts",0
"612","yejiruIes","rts",0
"613","Ameiluan","rts",0
"614","OdaraLima","rts",0
"615","cristianerany5","rts",0
"616","ferraz_siqueira","rts",1
